translation_x,translation_y,frame_numbers
4.283033231791684e-10,5.7349699574111756e-11,frame_0
-0.3167683039033319,0.0070473083253608,frame_1
-0.3775978239383013,0.0084006141126494,frame_2
-0.3775978239383013,0.0084006141126494,frame_3
-0.3775978239383013,0.0084006141126494,frame_4
-0.3775978239383013,0.0084006141126494,frame_5
-0.3872489506237548,0.0081198347705517,frame_6
-0.6294835357199112,0.0010725262382625,frame_7
-0.6663491007165984,-2.5767814271380435e-10,frame_8
-0.6663491007165984,-2.5767814271380435e-10,frame_9
-0.6663491007165984,-2.5767814271380435e-10,frame_10
-0.6663491007165984,-2.5767814271380435e-10,frame_11
-0.6782274106248282,-0.0011231177486599,frame_12
-0.827294849383063,-0.0152177363517012,frame_13
-0.8440421962356571,-0.0168012308322296,frame_14
-0.8440421962356571,-0.0168012308322296,frame_15
-0.8440421962356571,-0.0168012308322296,frame_16
-0.8440421962356571,-0.0168012308322296,frame_17
-0.856291703472884,-0.0184859070745461,frame_18
-0.9587755688269796,-0.0325805257264793,frame_19
-0.9662062008447568,-0.0336024614650617,frame_20
-0.9662062008447568,-0.0336024614650617,frame_21
-0.9662062008447568,-0.0336024614650617,frame_22
-0.9662062008447568,-0.0336024614650617,frame_23
-0.9765997220299502,-0.0358486965694245,frame_24
-1.0418167265838891,-0.0499433159404943,frame_25
-1.0439469302502238,-0.0504036929551272,frame_26
-1.0439469302502238,-0.0504036929551272,frame_27
-1.0439469302502238,-0.0504036929551272,frame_28
-1.0439469302502238,-0.0504036929551272,frame_29
-1.0569388315021455,-0.0546153836789126,frame_30
-1.1216876582819928,-0.0756055396104271,frame_31
-1.1216876582819928,-0.0756055396104271,frame_32
-1.1216876582819928,-0.0756055396104271,frame_33
-1.1216876582819928,-0.0756055396104271,frame_34
-1.1417690900826618,-0.081681504458926,frame_35
-1.1772167465501209,-0.0924067713022379,frame_36
-1.1772167465501209,-0.0924067713022379,frame_37
-1.1772167465501209,-0.0924067713022379,frame_38
-1.1772167465501209,-0.0924067713022379,frame_39
-1.1772167465501209,-0.0924067713022379,frame_40
-1.199154164522287,-0.1023630566521801,frame_41
-1.232745835792166,-0.1176086185942789,frame_42
-1.232745835792166,-0.1176086185942789,frame_43
-1.232745835792166,-0.1176086185942789,frame_44
-1.232745835792166,-0.1176086185942789,frame_45
-1.232745835792166,-0.1176086185942789,frame_46
-1.2565392388291887,-0.128407241970466,frame_47
-1.2882749232735102,-0.1428104655600678,frame_48
-1.2882749232735102,-0.1428104655600678,frame_49
-1.2882749232735102,-0.1428104655600678,frame_50
-1.2882749232735102,-0.1428104655600678,frame_51
-1.2882749232735102,-0.1428104655600678,frame_52
-1.3087944327335674,-0.15445142711795,frame_53
-1.3326981898425128,-0.1680123125833576,frame_54
-1.3326981898425128,-0.1680123125833576,frame_55
-1.3326981898425128,-0.1680123125833576,frame_56
-1.3326981898425128,-0.1680123125833576,frame_57
-1.3326981898425128,-0.1680123125833576,frame_58
-1.3602035623595168,-0.180495612516724,frame_59
-1.388227273203589,-0.1932141600476191,frame_60
-1.388227273203589,-0.1932141600476191,frame_61
-1.388227273203589,-0.1932141600476191,frame_62
-1.388227273203589,-0.1932141600476191,frame_63
-1.4265341468965596,-0.2105997163869577,frame_64
-1.4437563554970658,-0.2184160075390829,frame_65
-1.4437563554970658,-0.2184160075390829,frame_66
-1.4437563554970658,-0.2184160075390829,frame_67
-1.4437563554970658,-0.2184160075390829,frame_68
-1.4437563554970658,-0.2184160075390829,frame_69
-1.4758866428563346,-0.2366439017190585,frame_70
-1.4881796212423333,-0.2436178545714307,frame_71
-1.4881796212423333,-0.2436178545714307,frame_72
-1.4881796212423333,-0.2436178545714307,frame_73
-1.4881796212423333,-0.2436178545714307,frame_74
-1.4881796212423333,-0.2436178545714307,frame_75
-1.5301984623014595,-0.2626880874212732,frame_76
-1.5437086985035184,-0.2688197022810714,frame_77
-1.5437086985035184,-0.2688197022810714,frame_78
-1.5437086985035184,-0.2688197022810714,frame_79
-1.5486981223780496,-0.271650262018869,frame_80
-1.585964972014629,-0.2927921907842959,frame_81
-1.588131960399814,-0.2940215491690766,frame_82
-1.588131960399814,-0.2940215491690766,frame_83
-1.588131960399814,-0.2940215491690766,frame_84
-1.588131960399814,-0.2940215491690766,frame_85
-1.5962247257193576,-0.305040243018711,frame_86
-1.642808288075243,-0.3684660303432612,frame_87
-1.6436610381399055,-0.369627091058822,frame_88
-1.6436610381399055,-0.369627091058822,frame_89
-1.6436610381399055,-0.369627091058822,frame_90
-1.6436610381399055,-0.369627091058822,frame_91
-1.6575892885230312,-0.3937083504658449,frame_92
